Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
9/25/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,"I am a XXXX XXXX XXXX, a XXXX, and trying to move forward with the PSLF ( Public Service Loan Forgiveness program ). My loan has been bounced around from one loan holder to the next since I graduated in XX/XX/XXXX. While I have been on the required income contingent repayment plan and have not missed a payment since graduation, neither my current loan holder MOHELA, nor the Federal Student Aid Student Loan Support Center ( nor the US Department of Education ) have a record of the total number of months of my repayment. Because a new company ( MOHELA ) currently holds my loan, past companies who have held my loan no longer carry record of my months of repayment either. Due to lack of transparency in the sale of my loan from one company to the next, there is no way for me to verify my months of repayment for the Public Service Loan Forgiveness program -- this means that I may be paying unnecessary and excess interest on my loans for having tried to participate in the PSLF program since graduation in XX/XX/XXXX. 
I have contacted MOHELA several times looking for records. The last date ( and only one I have clearly documented ) is XX/XX/XXXX. 
I have contacted the Federal Student Aid Student Loan Support Center : the last date is XX/XX/XXXX. 
I have contacted the US Department of Education : the last date is XX/XX/XXXX.",Company believes it acted appropriately as authorized by contract or law,MOHELA,CA,96160,Servicemember,Consent provided,Web,9/25/17,Closed with explanation,Yes,N/A,2683722
1/26/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Trouble with how payments are handled,"I heard about the law suit and wanted to thank you so much for doing this! I 've been so frustrated with Navient that I almost did n't believe it when I heard they will be finally held accountable for such unfair business practices! Here is my quick background : I graduated from XXXX school in XXXX XXXX with about XXXX $ in government- owned loans. In XXXX XXXX I was finally able to get hired as a XXXX for a XXXX XXXX XXXX company in Missouri. I have n't consolidated my loans yet and the interest rates varies between 5.6 % to 7.9 %. I 'm enrolled in income based repayment and owe about XXXX $! 

Here are my complaints : 1. The 0.25 % interest rate reduction ( offered to those who sign up for automatic deduction from checking account ) I lost due to missing XXXX payment should be reinstated! I was punished very expensively for not having sufficient funds one time only right from the beginig! Due to confussion, not clear communication and obtaining different answers depending on who was answering the phone, I never knew my exact due date. I was told by different Navient customer service representatives that I had many due dates because I had XXXX loans at that time and each of them had different disbursement dates, so some of them were due in XXXX XXXX, others in XXXX and others in XXXX XXXX. 
I called and tried to explain- but they said the interest rate deduction it 's not a right, but a benefit they provide by using Navient and not other company. 

2. I make XXXX $ / month after taxes. Navient wants me to pay XXXX $ a month as part of the income based repayment plan!!! At this rate, I would be debt free in my XXXX? I called so many times and asked them to please increase my monthly payment to about XXXX $ so that way the money gets distributed over all my XXXX loans including principal not just interest. Of course, I pay extra myself every month but my XXXX, how careless of them to just let people pay the bare minimum necesary and get stuck paying loans for the the rest of our lives. I also need to save for a downpayment on a home. I really hope I 'll be able to get a second loan for my first home. 

3. Navient please let students now that, if they are military spouses, and the XXXX XXXX spouse cosigns for loans, all those loans ' interest rate will be capped to about 6 % or lower. I realy wish I knew this. I could have saved so much now. I just borrowed without a cosigner. 

Thank you so much for reading this! Good luck and may XXXX prevail!",,"Navient Solutions, LLC.",MO,,Servicemember,Consent provided,Web,1/31/17,Closed with explanation,Yes,No,2313365
2/6/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Trouble with how payments are handled,"Loans were taken out in my name fraudulently by XXXX between XX/XX/XXXX - XX/XX/XXXX. I have tried to combat that, and the issue is n't moving. My loans were listed in the XX/XX/XXXX and ALL subsequent law suits against the school. Navient was to place them all in deferment/forbearance and never did. They sent confirmations that it had been done, but took my tax refunds and continued collections. I did get the USDOE email confirmation that the loans would be discharged, and it has n't been done. Because the school took XXXX loans in my name, Many with no signature, I ca n't get approved for anything.",,"Navient Solutions, LLC.",UT,840XX,Servicemember,Consent provided,Web,2/6/17,Closed with explanation,Yes,Yes,2330177
5/8/17,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,"I am a United States  XXXX  who partied in  XXXX . When my  XXXX   XXXX  contract ended, I attended  XXXX  University where I obtained a  XXXX   XXXX . To cover the cost of tuition acquired federal and private student loans. Shortly after acquiring my loans,  Discover increased my monthly payment to {$650.00}. I call Discover  on several occasions to negotiate a lower monthly payment, and I was told to pay {$320.00} at the due date and pay another {$320.00} before the next due date to avoid going into collections. Managing my payments that way would eventually became very problematic for me. However, I did as I was told for as long as I could, until my contract at work wasnt renewed . I called Discover a gain to explain my situation and I also explained that I had an arrangement with  XXXX  to cap my monthly loan payments at {$450.0 0}. Discover woul d not offer any flexible options for repaying loans. I had to decide between, rent, and keeping my other debts  (  credit cards ) current. I am not proud of my financial circumstance ; however, I feel I did all I could to keep my loans from going into collections. As I write this letter I still owe over  $     40K in Federal student loans and I have close to $ 10K worth of credit card debt. I want to pay all of my de bts and improve my credit worthiness but at this point in my life I dont make a whole lot of money. Outside of my private student loans, I have never defaulted on any loans or credit product. My federal student loans, credit cards, and car loan are all current. The primary reason for all this is because they were willing to offer me a flexible payment option. Today I can honestly say, my private student loans are  one of t he reasons for my  XXXX .",,DISCOVER BANK,NJ,088XX,Servicemember,Consent provided,Web,5/8/17,Closed with explanation,Yes,N/A,2478250
8/22/16,Student loan,Non-federal student loan,Dealing with my lender or servicer,Don't agree with fees charged,"Navient is charging me exorbitant late fees and are paid back by spreading my payments to the late fees only. The prinicpal and interest of the loans are accumulating. As well as the penalties and late fees as I am in repayment. They currently want the whole loan paid in full and will not take less. I make payments but they still report negatively on my credit score impacting my ability to finance. I was defaulted on my loans before I even graduated XXXX. So once I graduated, XX/XX/XXXX, I was in default for non payment of loans whilst still obtaining my higher education. My loans on my credit report state that they stem from XX/XX/XXXX which is a major discrepancy as the loans stem from XX/XX/XXXX-XX/XX/XXXX. They are not reporting on my credit report properly and when I contact them I am hung up on and no return calls are made to me.",,"Navient Solutions, LLC.",VA,223XX,Servicemember,Consent provided,Web,8/22/16,Closed with explanation,Yes,No,2076131
12/27/17,Student loan,Private student loan,Dealing with your lender or servicer,Need information about your loan balance or loan terms,"I have been trying to get information about how much interest I have been charged over the life of my loans since my APR is adjustable. Navient has either been unwilling or unable to provide me with statements stating what the APR has been for each year since the loan origination dates and how much money in interest I have been charged each year on my loans. I first asked them via their online email inbox which is associated with my account on XXXX XXXX, XXXX and have re-requested this information an additional 3 times and they have completely ignored my requests for information on my account. Each time I re-request the information I get an auto-reply email back stating they will have someone "" respond shortly '' to my request.",,"Navient Solutions, LLC.",MN,,Servicemember,Consent provided,Web,12/27/17,Closed with explanation,Yes,N/A,2765144
12/8/17,Student loan,Federal student loan servicing,Struggling to repay your loan,Problem lowering your monthly payments,"I took an unsubsidized loan of XXXX XXXX dollars after my transition from Military service on XX/XX/XXXX. The purpose of this loan was to allow me pursue a XXXX XXXX in management information systems at XXXX XXXX University online. Initially, this loan was with XXXX XXXX who later sold the loan to Navient, a parent company. I am struggling to make payments and have requested on numerous times for Navient to lower the cost to affordable payments. Instead, they have chosen to continually harass me at work with phone calls violating my privacy because I work with prisoners. Now, I fear for my life and have indicated to be contacted via e-mail only and that was ignored. Next, I feel financially exploited by Navient changing my loan from {$10000.00} to {$26.00}, XXXX. As, this was reported to the credit bureau affecting my credit scores negatively. I have made several payments ranging from {$270.00}, {$270.00}, {$22.00}, {$50.00}, dated on XX/XX/XXXX, XX/XX/XXXX-XX/XX/XXXX respectively. Also, I was told by a representative over the phone to make a final payment of {$270.00} on XX/XX/XXXX and then continue to make {$50.00} monthly. She suggested filing a forbearance which I did, and Navient never acted on it. They have remained adamant and inconsistent in prorating my monthly payments and this is unacceptable. I am tired and sick of being harassed and exploited and hoping that they put a stop to this.",,"Navient Solutions, LLC.",MI,49321,Servicemember,Consent provided,Web,12/8/17,Closed with explanation,Yes,N/A,2750204
11/14/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,"In XX/XX/XXXX XXXX XXXX illegally defaulted my loans despite my submitting a request for a deferment. While I only borrowed approximately {$75000.00} I now owe over {$160000.00} due to default fees and penalties. This is loan shark practices. Furthermore, my income tax of over {$6000.00} from tax year XX/XX/XXXX was taken and NEVER applied to my balance. I have made numerous complaints since XX/XX/XXXX to  present to XXXX XXXX, US Department of Education, and Congress. This is loan shark practice and simply impossible to pay. I NEED HELP",,"Navient Solutions, LLC.",NE,,Servicemember,Consent provided,Web,11/14/17,Closed with explanation,Yes,N/A,2728352
6/28/18,Student loan,Private student loan,Dealing with your lender or servicer,Keep getting calls about your loan,I received a call from an unknown company claiming to represent Citibank in order to collect a student loan debt from XX/XX/XXXX to XX/XX/XXXX. They stated the wrong school so I thought this was odd. I was told I can settle the debt with them and then stay out of court with Citibank or not pay and have to go to court and then pay double. For monthly payment they wanted XXXX a month down and XXXX every month with a higher debt amount. This whole thing is odd because Citibank was not on my credit reports. I dont trust this at all and think its a way to get money out of me.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",AZ,,Servicemember,Consent provided,Web,6/28/18,Closed with explanation,Yes,N/A,2949524
7/18/17,Student loan,Private student loan,Struggling to repay your loan,Problem lowering your monthly payments,I graduated school in   XX/XX/XXXX   I was under pressure to go school back in  XX/XX/XXXX . My mom and dad cosigned my loans. My mom was paying the interest on several of my loans while I was in school but the loans barely decreased. After coming out school she was paying what she could while I found a job. She  XXXX    XX/XX/XXXX   since then I have been unable to pay the amount asked which is over $ 1200/ month. Earlier in  XX/XX/XXXX  Navient threatened to sue and take me to court. Unless I made 3 consecutive payments at  XXXX / month. I was not told my account would automatically be debited. My dad helped me make a few payments which he barely even had. Since then they have been trying to take money out. I called in to complain one month where the automatically took money which was supposed to be used for rent I almost got evicted that month. I do n't make enough and I keep telling them that but they wo n't let me pay no less. My debt to income ratio is insane. They have harassed my phone several time which caused me to switch numbers several times they used to call my mom while she was at work she never included her work phone number on the application so we are unsure how they got it. They also call my dad who currently lives in  XXXX  consistently whenever a payment is missed. When we would make payments they were supposed to spread it across all loans but they would only do it on a couple and then harass us over the rest and we would have to call them and tell them it was supposed to be across all loans and then they would fix it. This happened several times which damaged mine and my fathers credit drastically.   XXXX   XXXX  /Navient has tarnished our credit so bad he is unable to refinance his house and is paying an outrageous amount on interest on his house. I ca n't even rent a new apartment at lower rent because I do n't qualify.,,"Navient Solutions, LLC.",GA,303XX,Servicemember,Consent provided,Web,7/18/17,Closed with explanation,Yes,N/A,2579758
2/8/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Trouble with how payments are handled,"I obtained loans from XXXX XXXX ( now Navient ) starting XX/XX/XXXX - XX/XX/XXXX for XXXX and XXXX school. Upon graduating, I contacted XXXX XXXX to request an income-sensitive payment plan since I was not making enough to pay the large amount that they stated I owed. I was told that there was a plan to I could do to reduce my payments. The next month, I saw that there was no payment due. I contacted XXXX XXXX to inquire why and they said that I could decide to make payments or not to, but that it wasnt required. I made payments and eventually saw that there was a small amount due each month and then after a while the payment due was huge even though I had been making payments. Flash forward to today where I have been making payments monthly for 5 years or so and my balance is not going down ... at some point the balance actually went up. I have tried repeatedly to call XXXX XXXX to get a transaction sheet of all payments and credits that I have made on my loan and was told that information is not available. I have been trying to get someone to look at my account for years to help me understand why my balance does not go down. After calling last week, I was told that they cant see back that far. I was also told that my loan was put on forbearance and not an income sensitive plan during which time it was accruing interest. I have been making over-payments for the last year and the balance still doesnt go down. HELP!!! There is no way that I can be making payments on time for this long and owe more than when I started with the balance not moving. There is something not right about my account.",,"Navient Solutions, LLC.",TX,78681,Servicemember,Consent provided,Web,2/8/17,Closed with explanation,Yes,Yes,2334221
4/11/17,Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,"Navient holds some of my federal and XXXX Personal loan that was originally with XXXX XXXX. As stated in the law suit against them in XXXX, I have had the same issues with them. XXXX XXXX and then Navient did not disclose other alternatives to repayment and just offered me forbearance. Also, my private loan which is now in default, I was never provided any options for repayment from the collection company. My loan was originally {$22000.00} give or take and ballooned to {$93000.00}. They told me I just had to pay in full, and at one time they offered me a pay off of {$25000.00}, which I would have taken given I had the means. They never offered me any payment options and continued to harass me to pay the full amount. My loan shows "" charge off '' on my credit and with Naveint over the phone. But because Navient owns the collection company, they still show a balance, which makes no sense to me. I want to be included in the lawsuit against Navient because they have literally ruined my life and my credit.",,"Navient Solutions, LLC.",CA,917XX,Servicemember,Consent provided,Web,4/11/17,Closed with explanation,Yes,No,2430626
3/29/16,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,"My student loan was moved from XXXX to your UHEAA company. It was placed in forbearance for some time, then was paid at XXXX $ / month since my marriage in XX/XX/XXXX. By your policy I was to receive bill notifications, but the last received was XXXX XXXX. The email on file was validated as correct. Notifications are not present in my email nor spam nor trash folders. Yesterday, our checking account was debited the remaining XXXX without notice, overdrawing our account just prior to our mortgage payment. Complaint to your customer representatives ( XXXX, and XXXX other ) was met with policy statement of 60 days to return erroneous withdrawals. My bank takes 10 to 45 days to process unauthorized transactions, and decline of payment takes 30 to 45 days. All effort to persuade your representatives that your offical error correction policy is utterly inadequate to this specific situation was unsuccessful. It was made clear, by your policy, that our ability to pay our mortgage and other bills, and our credit rating, are inconsequential to your company 's adherence to a policy of taking 2 months to correct an error. 
As this is utterly unacceptable by any standard, this situation is being forwarded to the Consumer Financial Protection Bureau. 

XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Utah System of Higher Education,UT,841XX,Servicemember,Consent provided,Web,4/6/16,Closed with explanation,Yes,No,1854763
6/28/18,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,I made a large lump sum payment in ( XX/XX/2017 ) and specified in writing I wanted it applied to my balance not to future payments. This was not completed. I just learned today they misapplied my payment. The representative was rude when I asked to speak to a supervisor and hung up on me.,,"Navient Solutions, LLC.",CA,956XX,Servicemember,Consent provided,Web,6/28/18,Closed with explanation,Yes,N/A,2949385
1/20/17,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,"I am an XXXX veteran and was induced by XXXX to take out a private loan from Mary Mae while they waited for my GI bill funds to come in. I was pressured and given no other options, and I was never refunded anything from the school once the GI bill funds did come in. The loan has an incredibly high interest rate of 14.99 %. I have always made my payments, but I was defrauded and stolen from, likely by the school but potentially by Mary Mae as well, it is unclear. Mary Mae 's website changes all of the time, and I am not able to get in contact with anyone to discuss the loan or its terms. I continue to make {$170.00} payments a month, with {$1300.00} left on the loan, but it would relieve a great burden on my family to stop making these payments or see some other resolution of this issue. I can not afford what it would cost to attempt to take legal action on my own. I want this amount forgiven, or at least the loan payments reduced substantially.",Company believes it acted appropriately as authorized by contract or law,"Mary Mae Financial, LLC",NC,276XX,Servicemember,Consent provided,Web,3/9/17,Closed with monetary relief,Yes,No,2300144
7/19/16,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,"I have close to {$100000.00} in student loan debt, {$20000.00} of which is funded by Sallie Mae/XXXX. 
Sallie Mae/XXXX refuses to work with me and demands that I pay {$320.00} a month or more on this debt with 10 % interest. Everytime I call a representative tells me that is my only option, or I can default. Then they state that if I default there might be some help for me but they do n't know, and there 's nobody I can talk to about it. It is unbelievable",Company believes it acted appropriately as authorized by contract or law,SLM CORPORATION,MN,554XX,Servicemember,Consent provided,Web,7/20/16,Closed with explanation,Yes,Yes,2020357
9/10/17,Student loan,Private student loan,Dealing with your lender or servicer,Don't agree with the fees charged,"I XXXX college on XXXX XXXX with a XXXX and two student loans to pay of. I got married last year ( XXXX XXXX ) and my husband is an XXXX XXXX XXXX XXXX. We are currently stationed XXXX and because of the XXXX agreement that XXXX and the USA have- this does not allow many jobs for military dependents such as myself. I have not had any employment since I got here and over the last year we have been paying off my school loans ( over {$40000.00} in total ) with only my husband 's income. We contacted the lending institutions to see if any options were available for lower interest rates for service members and their families, but one institution, Navient ( formerly XXXX XXXX XXXX, refused to aid us in any way, even after explaining our situation, on the basis that I am not the service member. The interest rate on this loan is almost 10 % .and we are paying both loans off of just my husband 's income. We recently almost emptied out our savings in order to get the loan with Navient to a more reasonable level ; With the dollar amount the loan had been at, and the interest rate, we were not gaining any ground on the loan with just the minimum payment, it actually went up. Why was the total loan amount increasing even while always making payments on time?",,"Navient Solutions, LLC.",AE,9603,Servicemember,Consent provided,Web,9/10/17,Closed with explanation,Yes,N/A,2664329
2/21/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Having problems with customer service,"i have been trying to pay my loan back for months with navient. i cant even make an account online. When i try to, it tells me to call them because there is something wrong. so i have been. Heres what i have found out ... i cant make and account because there is another account separate from mine and from me with MY social security number but a different Birthday. so i can even create an account to pay my bills or check my status or even have an account. This has been going on for MONTHS and i dont think they are even trying to fix it. they are charging me interest, they are harassing me by phone and mail, telling me i need to pay them, threating to report to the credit companys. Please help me! someone has used my SS # and opened another account with navient, i cant pay my bills on my own account, and its gaining intreast, and they are doing anyhting about it? PLEASE HELP ME ... PLEASE ... ..",,"Navient Solutions, LLC.",OH,,Servicemember,Consent provided,Web,2/21/17,Closed with explanation,Yes,Yes,2352521
11/7/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,"1. GSFA is reporting a student loan with late payments for XX/XX/XXXX.
2. I disputed this as inaccurate with all 3 credit reporting agencies based on a deferment but the payment history was "" verified '' by GSFA.
3. I requested an investigation by GSFA giving them documentation from the current servicer showing the student loan was approved for a deferment, therefore could not be late when no payment was due. 4. I requested a hard copy of my GSFA payment history and deferment do
cuments in XX/XX/XXXX, XX/XX/XXXX, and XX/XX/XXXX. Per phone call to GSFA, they advised me that I was approved for a student loan deferment to cover XX/XX/XXXX but refused to provide me with any copies of this approval when requested.
5. Section 623 ( a ) ( 2 ) of the FCRA states that GSFA has a duty to update information to the most current information. The retroactive deferment changed the accuracy of their reporting and must be updated to reflect the corrected accurate information showing no payments were due for the above dates. 

GSFA is reporting missed payments for reporting periods requiring no payments.",,Georgia Student Finance Authority,AZ,853XX,Servicemember,Consent provided,Web,11/7/17,Closed with explanation,No,N/A,2722898
12/27/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,"Current status, I have 3 loans through Navient. They are currently in grace period, but I have been making payments. 

XX/XX/XXXX - I paid {$2000.00} towards my loans. Navient withdrew {$2000.00} from my account and only applied {$1500.00} to my principle and interest. My Navient account reflects I only paid a total of {$1500.00}, however, my bank account is reflecting {$2000.00} has been withdrawn and the other {$500.00} has never been applied to my loans or refunded. An email from Navient on the date of payment reflects {$2000.00} was paid despite only {$1500.00} being applied. 

XX/XX/XXXX - I paid {$1000.00} towards each of my 3 loan accounts ( {$330.00} to each ). Again, Navient withdrew the {$1000.00}, but only applied {$330.00} to two of my accounts, totaling {$670.00}. I have the email confirmation of the {$1000.00} payment being received, and my bank account reflects the withdrawal by Navient with no refund of the unaccounted for {$330.00}. 

When I called about this issue, I was told that I only paid the amounts that Navient applied and that they refunded the unapplied amounts ( which is not the case ). I called again and was told, "" my manager said that the money is not showing on your account because it was automatically applied to the principle. '' This is complete deception, and fraud, by this loan servicer, as there is absolutely no evidence that funds in question were applied to any of my debt, although they were withdrawn from my bank account and never refunded. 

If I looked beyond these two events, I 'm sure that my account would reflect more fraud by Navient. I will provide emails of payment confirmations and bank account withdrawals that reflect exact amounts on confirmations to compare to the inaccurate numbers on my Navient Account History page upon request.",,"Navient Solutions, LLC.",KY,,Servicemember,Consent provided,Web,12/27/17,Closed with explanation,Yes,N/A,2764693
10/11/17,Student loan,Private student loan,Incorrect information on your report,Account status incorrect,"I have called Navient back to back. Every time I call they hang up on me when it is time for them to transfer me to customer service. I reside in the state of Georgia. I call the XXXX XXXX ( Navient number ). They pick up, ask the reason why I call, then state they will transfer me to customer service. Every time they suppose to transfer me it hangs up. I have repeatedly call them back to back. I have phone records to prove it. I have talked to someone in XXXX, XXXX, and XXXX ( from Navient ) about why my credit score have decreased since I am on an automatic payment plan with Navient. Everyone I have talked to claimed that each month it would be updated. Each month my payment is considered missed or late on my credit score. Navient is the only thing that is messing up my credit score. I have sent letters to all 3 credit bureaus and only one sent something back ( XXXX ) which states the investigation will take 30 to 45 days.",,"Navient Solutions, LLC.",GA,302XX,Servicemember,Consent provided,Web,10/11/17,Closed with explanation,Yes,N/A,2699058
6/13/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,"This is the second time it has happened ... ..and it is every time I make a payment for both months ... 

Navient has again, wrongly applied my federal student Loan payments ; loan ID ; XXXX, XXXX and XXXX to an unknown loan ID XXXX, without authorization. I've asked Navient by email to correct the error of the payments for XX/XX/XXXX, and XX/XX/XXXX  and re-allocate the payment made to the unknown loan XXXX to the loans ID : XXXX, XXXX and XXXX for those months accordingly. Please find below details of the checks that were supposed to be applied to Loan ID : XXXX, XXXX and XXXX : Cashiers check # XXXX, payments for XX/XX/XXXX,  was supposed to be applied to loan ID : XXXX, XXXX and XXXX as described on the copy of the letter from Sallie Mae and written on the check, but was wrongly applied to unknown loan ID XXXX, on XX/XX/XXXX? Cashiers check # XXXX, payments for XX/XX/XXXX, was supposed to be applied to loan ID : XXXX, XXXX and XXXX as described on the letter from Sallie Mae and written on the check, but was wrongly applied to unknown loan ID XXXX, on XX/XX/XXXX? They've suddenly decided to divert my federal student loan payments to an unknown loan and charged me late fees for it??? 

I've included a copy of my past complaint ( ID XXXX ) and also the proof the checks i sent with instruction for which account and months!",,"Navient Solutions, LLC.",TX,,Servicemember,Consent provided,Web,6/13/18,Closed with monetary relief,Yes,N/A,2934971
5/5/15,Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,XXXX XXXX navient student loan.. XXXX XXXX school XXXX XXXX NY and XXXX XXXX XXXX NY..Loan is in default because i 'm unable to pay the amount. Their asking me for more than i make in my paycheck and its impossible to give a down payment of {$10000.00} and pay {$500.00} a month,,"Navient Solutions, LLC.",NY,117XX,Servicemember,Consent provided,Web,5/5/15,Closed with explanation,Yes,Yes,1361902
2/7/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,I received mail from Navient saying they had processed my request to enroll my loans in a XXXX Repayment Plan. I did not make this request. I called customer service & was told that everone leaving school os automatically enrolled on this repayment level. I think this is a form or fraud considerimg the XXXX Repayment Plan has higher interest rates. Also of this is automatically done how come the paperwork says Ibrequested this?. I asked to speak with a supervisor & also get a complaint address or number & was transferred to a Navient XXXX instead.,,"Navient Solutions, LLC.",TX,782XX,Servicemember,Consent provided,Web,2/10/17,Closed with explanation,Yes,No,2333129
5/7/17,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,I have an agreement for sutomatic withdrawl of {$180.00} from my checking account to service the  Navient  loan. However this month  Navient  withdrew {$460.00} from my account WITHOUT my authorization.,,"Navient Solutions, LLC.",OH,440XX,Servicemember,Consent provided,Web,5/7/17,Closed with explanation,Yes,N/A,2477910
5/15/17,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,"For sometime now, have made payments before which they state were never received, but have bank statements totaling over {$1000.00}, that I have repaid, they stated the invoice # that I had gotten from their employee were none existent, plus when I have put my loans on forburance they continue to call my harrass my co-signer, we were also miss lead about our private loan, did not know that it would be a never ending story, was ahead on payments, they kept changing my due date, how I ended behind?, then was unaware that my payments do not even make a dent on my my private loan, I am currently  XXXX  w/a   XXXX   XXXX   XXXX   XXXX    XXXX   XXXX   XXXX   XXXX   had a  XXXX  that   XXXX   XXXX   XXXX   XXXX   XXXX   XXXX  , even after  XXXX  am   XXXX    XXXX , I have  XXXX ,  XXXX   XXXX   XXXX , constant   XXXX   XXXX  , a   XXXX   XXXX   XXXX   XXXX   XXXX   in my   XXXX   XXXX   XXXX  , I also have  XXXX  of my   XXXX   XXXX   that   XXXX   XXXX    on me @  inconvient times, I  have told the to send me paper work due to my  XXXX , they kept giving me the run around  &  wanted to have a friend who has been helping me for a while to make the payments, my co-signer also has been harassed even when I asked them not to call him during his difficult time when his wife was ill with a  XXXX   XXXX , it has been a long horrific experience, I finally got fed up & had to make a complaint, I had asked them before to look into the $ that they stated I had not paid, but had bank records of & they just kept giving me the run around as well, ...",,"Navient Solutions, LLC.",WA,984XX,Servicemember,Consent provided,Web,5/16/17,Closed with explanation,Yes,N/A,2484861
3/7/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,"I am on an income driven repayment plan and am also working towards public student loan forgiveness at a 501 ( 3 ) c. I have XXXX/XXXX student loan debt upwards of 80k. I fill out my paperwork diligently, and call on a regular basis. When my payment went from {$170.00} to {$700.00} due to filing jointly on a tax return with my spouse, I utilized forbearance because our family could not afford this. When my loan came out of forebearance I submitted the correct paperwork online, and pulled my income over from the IRS website. When I called a few weeks later to see if my new payment form had been processed the lady informed me "" Our online applications do not work. '' I had no correspondance that this was the case and that my application was not in the que to be processed, she told me to submit a paper form. I filled out the paper form and faxed it in like directed. Again, I waited a week or two and called to check up. Again this form was denied because they needed my tax filings. AND this gentleman told me the online applications worked just fine and did not know why the previous lady had told me that. SO, I faxed in my tax filings. I again, called to follow up. The gentleman said they had everything they needed, but also wanted to inform me my PSLF employment recertification was denied because the city and state was not listed on the form. Again, I was NOT informed of this denial. So I redid that form, sent it in. A day later, my IDR application was AGAIN, denied, because of some silly error on question 4 about whether I was still in forebearance or not. I 'm not sure if I '' m in forebearance or not because it had expired, and I was trying to get my new payment completed so I could begin to pay. Fed Loan DOES NOT communicate, or call, or inform borrowers of direct action to keep their account in good standing. I work FULL TIME and another part time job to keep up on our bills. It is a FULL TIME job keeping up with Fed Loan 's direct neglectful practices to attempt to put accounts into delinquency because they can not process papers in time or inform borrowers of direct action needed. Their employees give misinformation to borrowers who worked hard to get through schooling and make us jump through so many hoops that you ca n't even keep things straight. I would LOVE to file a law suit against them.",,AES/PHEAA,OH,,Servicemember,Consent provided,Web,3/7/17,Closed with non-monetary relief,Yes,No,2375810
8/16/17,Student loan,Federal student loan servicing,Struggling to repay your loan,Can't get other flexible options for repaying your loan,"Step 1 : What is this complaint about? I complained about Nelnet a few months ago. I have an existing account with CFPB : XXXX. Step 2 : What type of problem are you having? I was not contacted that my income based repayment plan application was not received or offered assistance to complete the application even after they reported to CFBP that they received my complaint.
Step 3 : What happened? I called Friday XX/XX/XXXX at XXXX and spoke to XXXX or XXXX for 9 minutes about my income based repayment plan application. They told me that my income based repayment plan was not currently applied and that I never submitted the application. If you read my complaint you will note that I received an e-mail stating that I was approved for the income based repayment plan. Sure enough, I was offered and I accepted the one month forbearance which just catches up my account. The monthly payment of about {$1500.00} is too much for my income and my credit rating has gone down because of this! Step 4 : What company is this complaint about? Nelnet Step 5 : Who are the people involved? I have the usual contact by email but not on this issue. I spoke to XXXX or XXXX on Friday at XXXX for 9 minutes and explained what had happened and she gave me the one month forbearance. She said, we never received your application for income based repayment plan.",,"NELNET, INC.",WA,992XX,Servicemember,Consent provided,Web,8/16/17,Closed with explanation,Yes,N/A,2630784
3/2/16,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,"I was placed on the long term modification program to alleviate my financial difficulties. I have now been out into default because chase did not put the past due balnce into forbearance as the XXXX rep told me would happen. Now all of my loans have become accelerated and are asking me to pay all loans in full. I can not do this, I am barely able to make lower payments.",,JPMORGAN CHASE & CO.,NJ,070XX,Servicemember,Consent provided,Web,3/7/16,Closed with non-monetary relief,Yes,No,1812916
7/19/15,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,"In a discussion regarding repayment, my processor will not allow me to apply additional payment to my principal balance ( s ). They said even if I specify, they will apply to interest.",,AES/PHEAA,FL,32195,Servicemember,Consent provided,Web,7/19/15,Closed with explanation,Yes,No,1473507
